[2024-04-23 00:14:25] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-04-23 00:14:25] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2024-04-23 00:14:25] [class-ss-archive-creation-job.php:98] Pushing first task to queue: setup
[2024-04-23 00:14:26] [class-ss-archive-creation-job.php:132] Current task: setup
[2024-04-23 00:14:26] [class-ss-archive-creation-job.php:149] Performing task: setup
[2024-04-23 00:14:26] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-04-23 00:14:26] [class-ss-setup-task.php:33] Creating archive directory: /Users/brandon/tmp/simply-static-1-1713831265/
[2024-04-23 00:14:26] [class-ss-setup-task.php:79] Adding origin URL to queue: https://premierprintinglimited.local/
[2024-04-23 00:14:26] [class-ss-setup-task.php:145] Adding files from directory: /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/03/Order-Form-West-2022.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/03/Order-Form-West-2022.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/03/Order-Form-East-2022.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/03/Order-Form-East-2022.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/03/Order-Form-Ontario-2022.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/03/Order-Form-Ontario-2022.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/4-x-9-with1-3pocketTicketWallet.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/4-x-9-with1-3pocketTicketWallet.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-4pockets.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-4pockets.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9-x-12-with-1pockets3.5-one-with-0.25-gusset.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9-x-12-with-1pockets3.5-one-with-0.25-gusset.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9-x-12-with-1pockets3.5-one-with-0.25-gusset.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9-x-12-with-1pockets3.5-one-with-0.25-gusset.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-3-pockets.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-3-pockets.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-3.5-pockets.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-3.5-pockets.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-3.5-pockets.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-3.5-pockets.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/4-x-9-with1-3pocketTicketWallet.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/4-x-9-with1-3pocketTicketWallet.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-4pockets-with0.25-gusset.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-4pockets-with0.25-gusset.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-4pockets.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-4pockets.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/Template-for-2-0.125-gussets-1.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/Template-for-2-0.125-gussets-1.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/Template-for-2-0.125-gussets.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/Template-for-2-0.125-gussets.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-3-pockets.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-3-pockets.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/02/9x12-with-2-4pockets-with0.25-gusset.ai to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/02/9x12-with-2-4pockets-with0.25-gusset.ai
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/.DS_Store to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/.DS_Store
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/06/Order-Form-East-2022-06.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/06/Order-Form-East-2022-06.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/06/Order-Form-Ontario-2022-06.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/06/Order-Form-Ontario-2022-06.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2022/06/Order-Form-West-2022-06.pdf to queue as: https://premierprintinglimited.local/wp-content/uploads/2022/06/Order-Form-West-2022-06.pdf
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/2024/.DS_Store to queue as: https://premierprintinglimited.local/wp-content/uploads/2024/.DS_Store
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/.DS_Store to queue as: https://premierprintinglimited.local/wp-content/uploads/.DS_Store
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/simply-static/.DS_Store to queue as: https://premierprintinglimited.local/wp-content/uploads/simply-static/.DS_Store
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/simply-static/75f8dc04d4649ea5ec7f8e5c560c40d5-debug.txt to queue as: https://premierprintinglimited.local/wp-content/uploads/simply-static/75f8dc04d4649ea5ec7f8e5c560c40d5-debug.txt
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/wp-migrate-db/index.php to queue as: https://premierprintinglimited.local/wp-content/uploads/wp-migrate-db/index.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/uploads/wp-migrate-db/.htaccess to queue as: https://premierprintinglimited.local/wp-content/uploads/wp-migrate-db/.htaccess
[2024-04-23 00:14:26] [class-ss-setup-task.php:145] Adding files from directory: /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/functions.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/functions.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/theme.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/theme.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/text-centered-statement-small.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/text-centered-statement-small.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/template-home-blogging.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/template-home-blogging.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/template-index-blogging.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/template-index-blogging.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/posts-images-only-3-col.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/posts-images-only-3-col.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/cta-subscribe-centered.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/cta-subscribe-centered.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/page-home-business.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/page-home-business.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/gallery-full-screen-image.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/gallery-full-screen-image.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/banner-project-description.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/banner-project-description.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/posts-images-only-offset-4-col.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/posts-images-only-offset-4-col.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/page-portfolio-overview.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/page-portfolio-overview.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/hidden-search.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/hidden-search.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/text-feature-grid-3-col.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/text-feature-grid-3-col.php
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/patterns/template-search-portfolio.php to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/patterns/template-search-portfolio.php
